Temperature high,Temperature avg,Temperature low,Dew Point high,Dew Point avg,Dew Point low,Humidity high,Humidity avg,Humidity low,Sea Level Pressure high,Sea Level Pressure avg,Sea Level Pressure low,Visibility high,Visibility avg,Visibility low,Wind high,Wind avg,Precipitation
30,28,25,26,24,23,94,82,62,1014,1011,1008,14,8,3,19,6,9.91
31,28,24,25,24,24,94,85,67,1014,1011,1008,14,9,6,13,5,0
33,28,24,25,24,23,100,86,56,1014,1011,1009,14,9,3,14,3,0
33,29,24,26,24,23,94,82,57,1013,1011,1008,11,8,4,14,3,0
33,28,24,27,24,21,94,82,50,1013,1011,1008,14,8,1,14,5,0
34,29,25,26,24,23,94,80,44,1012,1010,1007,14,8,3,21,5,0
32,29,25,26,24,22,94,80,52,1013,1011,1008,11,9,6,14,6,0
34,29,24,25,23,21,94,77,40,1015,1012,1009,11,9,7,19,5,0
33,29,24,25,22,21,89,72,45,1013,1011,1009,14,10,7,27,11,4.06
32,28,23,25,22,19,89,70,44,1013,1011,1008,18,10,9,24,11,0.51
29,27,24,24,23,22,89,82,68,1014,1011,1009,11,10,6,14,6,0
32,28,24,26,23,22,89,79,62,1013,1011,1008,14,9,3,19,6,0
34,29,24,24,23,22,94,78,52,1011,1008,1005,14,9,5,23,6,6.1
30,27,24,24,24,22,94,83,66,1009,1007,1005,13,8,2,14,6,0
31,28,24,25,24,23,94,82,52,1010,1007,1005,14,10,6,10,3,9.91
32,28,24,26,24,22,94,84,50,1010,1008,1005,14,9,3,13,5,5.08
32,28,24,25,24,23,100,83,55,1011,1008,1006,11,9,2,16,6,0
32,28,24,25,24,22,94,79,48,1011,1009,1006,14,10,8,11,5,0
34,29,24,25,24,23,89,77,44,1011,1008,1006,14,10,6,16,5,0.51
32,28,24,25,24,23,94,81,57,1011,1009,1006,11,9,5,13,6,2.03
32,28,24,25,23,23,94,80,59,1011,1009,1006,11,9,3,16,6,0.76
31,28,25,24,23,22,94,78,50,1011,1008,1005,14,10,3,19,5,7.87
